time,temperature_2m,relative_humidity_2m,wind_speed_10m,city
2026-08-23T17:00,21.8,90,14.8,Mysuru
2026-08-23T18:00,22.3,87,16.3,Mysuru
2026-08-23T19:00,22.1,88,15.0,Mysuru
2026-08-23T20:00,21.8,89,15.7,Mysuru
2026-08-23T21:00,21.6,90,14.3,Mysuru
2026-08-23T22:00,21.5,89,16.2,Mysuru
2026-08-23T23:00,21.3,89,15.3,Mysuru
2026-08-24T00:00,21.5,88,13.9,Mysuru
2026-08-24T01:00,22.0,85,16.0,Mysuru
2026-08-24T02:00,22.8,82,18.8,Mysuru
2026-08-24T03:00,23.7,78,20.8,Mysuru
2026-08-24T04:00,24.8,72,21.0,Mysuru
2026-08-24T05:00,26.1,67,20.4,Mysuru
2026-08-24T06:00,26.9,64,20.4,Mysuru
2026-08-24T07:00,26.8,66,21.9,Mysuru
2026-08-24T08:00,26.2,70,24.2,Mysuru
2026-08-24T09:00,25.6,74,25.4,Mysuru
2026-08-24T10:00,25.1,76,24.9,Mysuru
2026-08-24T11:00,24.7,78,23.7,Mysuru
2026-08-24T12:00,24.2,81,22.2,Mysuru
2026-08-24T13:00,23.5,84,20.7,Mysuru
2026-08-24T14:00,22.7,87,19.2,Mysuru
2026-08-24T15:00,22.2,89,17.9,Mysuru
2026-08-24T16:00,21.9,90,17.0,Mysuru
2026-08-24T17:00,21.9,90,16.2,Mysuru
2026-08-24T18:00,21.8,90,15.7,Mysuru
2026-08-24T19:00,21.6,91,15.1,Mysuru
2026-08-24T20:00,21.4,92,14.8,Mysuru
2026-08-24T21:00,21.3,92,14.4,Mysuru
2026-08-24T22:00,21.3,92,14.0,Mysuru
2026-08-24T23:00,21.5,91,13.5,Mysuru
2026-08-25T00:00,21.7,89,13.8,Mysuru
2026-08-25T01:00,22.2,86,15.5,Mysuru
2026-08-25T02:00,22.7,83,17.9,Mysuru
2026-08-25T03:00,23.4,79,20.0,Mysuru
2026-08-25T04:00,24.3,75,21.3,Mysuru
2026-08-25T05:00,25.3,71,22.7,Mysuru
2026-08-25T06:00,26.1,68,23.9,Mysuru
2026-08-25T07:00,26.3,68,25.0,Mysuru
2026-08-25T08:00,26.3,70,25.6,Mysuru
2026-08-25T09:00,26.1,71,25.9,Mysuru
2026-08-25T10:00,25.9,71,25.8,Mysuru
